Year,Month,Day,Maximum temperature (Degree C),Rainfall amount (millimetres),Daily global solar exposure (MJ/m*m)
2015,1,1,28.5,0,32.9
2015,1,2,26.3,0,24.2
2015,1,3,29.5,0,32.6
2015,1,4,34.7,0,32.7
2015,1,5,44.4,0,27.4
2015,1,6,34.6,0,29.8
2015,1,7,34.2,0,31.5
2015,1,8,32.3,0,32.8
2015,1,9,30,0,32.4
2015,1,10,30.6,0,32.3
2015,1,11,32,0,32.1
2015,1,12,35.8,0,32
2015,1,13,35.5,0,31.6
2015,1,14,29.7,0,32
2015,1,15,30,0,31.8
2015,1,16,30.3,0,32.2
2015,1,17,38,0,29.6
2015,1,18,29.5,0,29.6
2015,1,19,27.6,0,30.2
2015,1,20,38.9,0,30.6
2015,1,21,35.8,0,24.6
2015,1,22,29,0,17.5
2015,1,23,30.4,0,29.2
2015,1,24,29.6,0,30.1
2015,1,25,33.3,0,31.4
2015,1,26,37.1,0,30.9
2015,1,27,40,0,28.2
2015,1,28,36.8,0,29.3
2015,1,29,33.9,5.2,22.1
2015,1,30,34.7,13.4,11.1
2015,1,31,31,0,14.3
2015,2,1,33.8,0,16.1
2015,2,2,31.9,9.6,11.7
2015,2,3,39.1,11.8,15.4
2015,2,4,32.6,1.6,28
2015,2,5,30.9,0,27.2
2015,2,6,29.7,0,27.5
2015,2,7,32.8,0,28.5
2015,2,8,39.5,0,28.1
2015,2,9,33.7,0,28.4
2015,2,10,34.9,0,27.5
2015,2,11,36.4,0,27.9
2015,2,12,30.3,0,12.7
2015,2,13,26.9,0,15.1
2015,2,14,24.4,0.4,27.4
2015,2,15,29.4,0,28.6
2015,2,16,34,0,23.6
2015,2,17,32.5,0,9.9
2015,2,18,34.9,0,23.4
2015,2,19,32.4,0,26.1
2015,2,20,30.3,0,22.6
2015,2,21,26.7,0,26.8
2015,2,22,29.6,0,26
2015,2,23,33.8,0,25.9
2015,2,24,38.4,0,22.8
2015,2,25,36,0,22.8
2015,2,26,33.6,0,23.1
2015,2,27,26.1,0,24.2
2015,2,28,30.8,0,24.8
2015,3,1,31.2,0,21.4
2015,3,2,28.6,0,20.8
2015,3,3,30.6,0,24
2015,3,4,32.7,0,24.1
2015,3,5,33.3,0,25
2015,3,6,32.6,0,24.3
2015,3,7,33,0,24.1
2015,3,8,31.1,0,24.1
2015,3,9,32.6,0,24
2015,3,10,31.7,0,24.5
2015,3,11,34.5,0,24
2015,3,12,37.9,0,23.8
2015,3,13,34.8,0,5.7
2015,3,14,32.6,4.8,10.6
2015,3,15,26.5,2.4,20.4
2015,3,16,26.7,0.2,19.6
2015,3,17,26.9,0,17.6
2015,3,18,23.8,4.6,14.4
2015,3,19,25.3,0.8,12.9
2015,3,20,31,0,22.3
2015,3,21,24.5,0,17.8
2015,3,22,24.6,0,18.5
2015,3,23,24.6,0,22
2015,3,24,25.8,0,21.1
2015,3,25,29.2,0,21.1
2015,3,26,30.4,0,17.3
2015,3,27,26.9,2.8,20.3
2015,3,28,26.5,0,19.6
2015,3,29,31.1,0,20.5
2015,3,30,27.8,0,11.9
2015,3,31,25.3,0,17.1
2015,4,1,27.7,0,17.5
2015,4,2,27.7,0,17.6
2015,4,3,29.2,0,17.8
2015,4,4,28.7,0,13.7
2015,4,5,30.4,0,18.4
2015,4,6,24.9,0,8.5
